1
802.9845,255.3152,879.6053,265.9889,857.2744,426.2906,780.6536,415.6169
803.7156,253.7766,884.7695,261.9896,868.9548,418.0637,787.9009,409.8507
817.5530,250.9953,899.7083,273.3987,853.6913,442.1470,771.5360,419.7436
822.0123,247.8350,903.3006,273.3892,850.8806,440.1383,769.5923,414.5842
823.2110,243.6550,909.7070,262.0103,875.1087,425.0483,788.6127,406.6930
810.4159,242.1626,909.4325,246.5938,902.3732,404.3358,803.3566,399.9046
841.1110,231.3163,938.3577,271.7870,874.8675,424.3474,777.6208,383.8767
834.6033,222.6446,945.4338,259.5060,893.8023,414.7457,782.9718,377.8843
809.7932,230.5932,932.5196,247.5974,912.5885,391.4480,789.8621,374.4437
833.4013,219.5209,955.7533,263.6435,902.9138,410.1675,780.5618,366.0449
946.1890,364.4958,823.8347,389.8955,792.8751,240.7581,915.2294,215.3585
970.3745,350.9296,871.8314,397.3876,806.4103,258.6216,904.9533,212.1635
960.9512,371.4555,827.1758,392.4723,805.1829,252.4838,938.9583,231.4670
984.9969,343.8274,884.7023,399.3095,813.5211,270.6359,913.8157,215.1537
969.5330,367.6505,882.5409,379.5723,859.4988,211.4355,946.4909,199.5137
993.0495,307.0715,880.9817,360.5596,826.1418,245.6596,938.2096,192.1715
975.8286,373.6900,892.7098,373.8549,892.3460,190.5953,975.4648,190.4303
903.4493,179.0285,995.1258,188.1345,976.5453,375.1989,884.8688,366.0930
911.8733,180.7521,994.0475,188.5245,976.6579,372.3776,894.4836,364.6052
903.4024,166.1529,1007.4288,183.1976,980.8071,345.6735,876.7808,328.6288
934.8803,162.4040,1018.0620,180.0957,978.3145,366.9775,895.1329,349.2858
966.9146,150.2426,1023.2102,188.6905,943.4745,305.4401,887.1788,266.9922
947.3035,147.0855,1038.1345,174.7784,1004.4940,285.1175,913.6628,257.4245
950.8670,147.6874,1023.6245,168.0701,983.9244,309.7829,911.1669,289.4003
947.4155,143.1113,1033.9783,160.6394,1014.6314,256.1844,928.0687,238.6563
970.1440,133.9019,1043.5520,169.8729,996.7240,265.4375,923.3160,229.4666
968.9606,130.6863,1048.1091,165.6026,1006.3860,260.1808,927.2375,225.2646
961.2498,129.8441,1050.3469,155.2686,1023.2769,250.1324,934.1797,224.7079
969.5599,127.9651,1052.9846,160.8447,1016.1540,254.2941,932.7293,221.4144
970.8426,125.3263,1059.3568,160.6677,1022.5712,252.7993,934.0569,217.4579
972.0186,128.3223,1059.9731,159.9062,1028.5798,247.3300,940.6253,215.7460
979.9072,129.6544,1064.4396,169.3216,1026.6405,249.8726,942.1082,210.2054
1054.6302,220.1985,982.5055,229.0752,971.7697,141.8451,1043.8945,132.9684
1064.0353,204.1915,1016.9199,234.6641,965.1962,154.6911,1012.3116,124.2185
1058.0852,170.1913,1041.3824,224.3040,955.5757,197.8185,972.2784,143.7058
1050.6616,234.1534,983.2888,245.5463,969.0272,161.2095,1036.4000,149.8166
1054.5952,240.9149,988.4568,256.2053,966.8600,162.7882,1032.9984,147.4979
1049.8313,269.3341,978.2181,276.2328,967.6931,166.9768,1039.3063,160.0781
978.4325,180.9379,1047.0992,183.8073,1042.7892,286.9489,974.1224,284.0795
1053.6443,255.3380,999.0022,280.6910,962.5165,202.0554,1017.1586,176.7024
1050.2045,269.0447,997.0220,295.5629,958.3250,217.9555,1011.5075,191.4373
1036.1219,307.3680,965.9700,311.1393,960.6039,211.3234,1030.7560,207.5521
964.5104,222.1465,1033.7805,228.7184,1024.4169,327.4133,955.1468,320.8413
1033.0344,311.3243,967.8391,326.5724,948.6083,244.3490,1013.8036,229.1008
1030.7170,323.0771,964.6669,346.4018,935.7924,264.6360,1001.8425,241.3113
1022.4177,333.3577,951.9062,364.2292,916.5140,283.3924,987.0255,252.5209
1019.6406,286.8379,985.1157,381.6626,904.6077,352.3503,939.1325,257.5256
943.9972,262.2727,1012.6577,310.4365,950.5984,398.9058,881.9379,350.7420
912.2866,292.7113,988.1520,306.7433,972.7459,390.0378,896.8805,376.0058
905.2587,304.7148,976.2657,331.5760,945.9615,411.6842,874.9546,384.8230
878.0209,318.1664,956.0436,341.9307,930.8591,424.6164,852.8364,400.8521
906.9116,309.2728,961.7336,372.6581,882.9442,440.8033,828.1221,377.4179
888.6490,324.8589,942.0689,393.0064,861.6094,456.0774,808.1896,387.9298
865.8224,344.4525,917.8187,408.3614,851.3198,462.4650,799.3235,398.5562
833.6844,358.1643,893.6875,412.9370,834.6757,477.5841,774.6725,422.8114
860.7422,401.3784,838.7533,486.6240,746.6829,462.8746,768.6718,377.6291
823.4098,377.9195,858.0176,453.1675,755.9302,500.1192,721.3224,424.8712
788.4492,389.6057,829.2516,457.4072,736.4700,513.2424,695.6677,445.4409
714.0823,404.7423,789.8220,418.0583,774.6299,504.4686,698.8903,491.1526
716.4738,393.7231,780.1875,441.5191,722.3904,518.5646,658.6768,470.7687
723.1190,404.8596,756.0150,478.0390,667.5425,517.8096,634.6465,444.6301
726.5251,425.8254,734.6713,498.0243,629.0404,509.9427,620.8942,437.7437
709.7559,419.0283,723.3510,508.9343,614.9386,525.3279,601.3434,435.4219
657.0022,384.1162,734.5197,435.1902,671.1119,531.4272,593.5945,480.3532
673.4158,421.9250,693.5403,512.0037,598.6140,533.2111,578.4896,443.1324
671.3004,437.1156,670.4609,528.6616,568.7966,527.7293,569.6361,436.1833
681.9172,411.7894,702.8474,512.0990,570.4586,539.7227,549.5284,439.4131
683.6434,416.4463,697.9156,520.7656,558.9914,539.7722,544.7192,435.4529
678.4059,430.2400,679.7696,527.6676,545.2109,529.5510,543.8472,432.1234
651.1163,493.2816,599.5392,540.4320,519.1495,452.4949,570.7267,405.3445
603.8284,373.7989,676.5157,465.6960,582.4255,540.1180,509.7381,448.2209
647.9135,394.9761,669.7253,507.3484,542.7355,531.9976,520.9236,419.6253
611.5027,340.9072,697.6495,423.2391,583.5904,542.5834,497.4435,460.2515
632.8423,343.4766,700.6531,446.0133,568.7159,533.2677,500.9051,430.7311
652.7451,352.5366,700.9766,467.3246,558.2269,527.3049,509.9955,412.5168
